group,task,desc
ai,specify-cli,Spec-kit
pdf,pdfattach,Attach PDFs
pdf,pdfdetach,Detach PDFs
pdf,pdftocairo,PDF to Cairo
pdf,pdffonts,PDF fonts
pdf,pdftohtml,PDF to HTML
pdf,pdfimages,PDF to images
pdf,pdfinfo,PDF info
pdf,pdftoppm,PDF to ppm
pdf,pdftops,PDF to ps
pdf,pdfseparate,PDF separate
pdf,pdfsig,PDF sig
pdf,pdfunite,PDF unite
pdf,pdftotext,PDF to text
terminal,zellij,Zellij terminal
terminal,tmux,Tmux terminal
repo,gitui,Gitui git tui
repo,lazyjj,Lazyjj
repo,delta,Git delta viewer
repo,hub,Simplified github cli
db,dblab,Database tui
db,gobang,Database tui
db,lazysql,Lazysql
db,sqlite3,SQLite db cli
db,sqld,Lib sql
db,tursodb,Turso db
db,sq,Jq-like for data sources
container,lazydocker,Lazydocker
container,limactl,Create linux vm
lint,biome,Lint: biome check --write
lint,shellcheck,Shell linter
file,portal,File transfer tui
text,jq,Jq json processing
text,jqn,Jq.node json processing
text,yq,"Jq-like for yaml, json, xml, properties, csv and tsv"
text,jc,CLI output to json
text,jid,Json interactive digger
text,fx,Fx json viewer
text,jnv,Jnv json navigator
text,glow,Markdown viewer
text,htmlq,Jq-like for html
text,markitdown,Convert many formats to markdown
web,hurl,Curl test framework
web,xh,Curl alternative
web,curlie,Curl alternative
web,posting,Posting tui
web,caddy,Web server
dev,sshs,Ssh client tui
dev,tokei,Count lines of code
dev,lunchy,Launch services ~/Library/LaunchAgents/
dev,nerdlog,Log tui
dev,watchexec,Watch for changes
dev,navi,CLI cheatsheet
dev,cheat,CLI cheatsheets
dev,repomix,Repo to single file
unix,ditto,Copy alternative
unix,sd,Sed alternative for find/replace within files
unix,sad,Sed alternative with fzf
unix,rg,Ripgrep grep alternative
unix,tldr,Man alternative
unix,bat,Cat alternative
unix,procs,Ps alternative
unix,btop,Top tui
unix,glances,Top tui
unix,macmon,Resource monitor
unix,tspin,Tail alternative
unix,choose,Cut alternative
unix,gping,Ping alternative
unix,fd,Find alternative
util,gpg-tui,GPG tui
util,sniffnet,Network monitor
util,lazyjournal,Lazyjournal
util,sk,Skim: fzf alternative"
util,tv,Fzf alternative
util,spark,Sparkline generator
util,wallpaper,MacOS wallpaper
util,pv,Pipe viewer
util,svgo,SVG optimizer
